book_id,page_id,ref:,Ref_context
2,19,(^٦),ينظر: البهوتي: المصدر السابق، (١٣/ ٧٧).
2,19,(^٧),ينظر: البهوتي: المصدر السابق، (١٣/ ٧٧).
2,20,(^١),د. أمل الدباسي: بنوك الحليب وموقف الشريعة الإسلامية منها ضمن مجلة الجمعية الفقهية السعودية (ع ٢٦/ ٤٨٩).
2,20,(^٢),د. عادل الصاوي: الأحكام المتعلقة بالهرمونات في ضوء الاجتهادات الفقهية والمعطيات الطبية (ص ٤٠٧).
2,20,(^٣),ينظر: علي الحكمي: الضوابط الفقهية في الرضاع (ص ٢٨).
2,20,(^٤),ينظر: الشاطبي: الموافقات (١/ ٦٩).
2,21,(^١),ابن قاسم: مجموع فتاوى شيخ الإسلام أحمد ابن تيمية (٩/ ٤٥ - ٤٧).
2,21,(^٢),من تسجيل شرح الإيمان لأبي عبيد.
2,21,(^٣),ينظر: بدر الدين الزركشي: الديباج في توضيح المنهاج (٢/ ٨٩٧). النووي: روضة الطالبين وعمدة المفتين (٩/ ٣ - ٦).
2,22,(^١),ينظر: الشاطبي: المصدر السابق، (١/ ١٠٨).
2,22,(^٢),ينظر: ابن قاسم: المصدر السابق، (٢٨/ ١٢٩).
2,23,(^١),ابن حمدان: صفة الفتوى والمفتي والمستفتي (ص ١٧). وقال الألباني: بعض الفقهاء المقلدين القائلين: إن الاجتهاد انقطع منذ القرن الرابع، فليس إلا التقليد؛ هم أحيانًا يجتهدون، وليت أنهم يجتهدون، وأنى لهم الإصابة وهم فعلًا مقلدون؛ لا يعرفون كيف يجتهدون؛ لأنهم ليس وسائل الاجتهاد، ومنها السنة، وتمييز صحيحها من ضعيفها، ومعرفة أصول الفقه، وغير ذلك من الوسائل المعروفة عند أهل العلم ا. هـ ينظر: الألباني: المصدر السابق، (١/ ٣٥٣).
2,23,(^٢),ينظر: د. مسفر القحطاني: المصدر السابق، (٢٦١ - ٢٦٢).
2,24,(^١),المعلمي: الأنوار الكاشفة (ص ٣٠٨).
2,25,(^١),ينظر: الشاطبي: المصدر السابق، (١/ ٧٥، ٨٥).
2,25,(^٢),(١/ ٢٦٠).
2,25,(^٣),ينظر: الشيرازي: اللمع في أصول الفقه (ص ٢٤٩ - ٢٥٠). السعدي: تيسير الكريم الرحمن في تفسير كلام المنان ضمن مجموع مؤلفات الشيخ العلامة عبدالرحمن بن ناصر السعدي. (٢/ ٦٨٠).
2,26,(^١),ينظر: عبد المجيد النجار: فقه التدين فهمًا وتنزيلًا (١/ ٦٨). عبدالله آل خنين: توصيف الأقضية في الشريعة الإسلامية (١/ ٣٦٩).
2,26,(^٢),ابن الشبكي: طبقات الشافعية الكبرى (١/ ٣١٩).
2,26,(^٣),ينظر: الزركشي: البحر المحيط في أصول الفقه (٦/ ٢٨٨). عبالله آل خنين: المصدر السابق، (١/ ٣٧٢).
2,26,(^٤),ابن قاسم: الدرر السنية في الأجوبة النجدية (١/ ٤٥).
2,26,(^٥),ينظر: ابن القيم: إعلام الموقعين عن رب العالمين (٥/ ١٦٦).
2,27,(^١),ينظر: آل خنين: المصدر السابق، (١/ ٣٧٣ - ٣٧٤).
2,27,(^٢),ابن عاشور: تفسير التحرير والتنوير (١/ ٧).
2,27,(^٣),ينظر: الشاطبي: المصدر السابق، (١/ ٣٣٢).
2,27,(^٤),ينظر: الشاطبي: المصدر السابق، (١/ ٣٣٢).
2,28,(^١),ينظر: آل خنين: المصدر السابق (١/ ٤٣٤).
2,28,(^٢),ينظر: الشاطبي: المصدر السابق، (١/ ٢٧).
2,28,(^٣),ابن قاسم: المصدر السابق، (١٠/ ٣٩).
2,29,(^١),ينظر: الجصاص: الفصول (٤/ ٢١٧ - ٢٢٠، ٣٦٥ - ٣٧١). المقري: القواعد (٢/ ٤٩٧ - ٥٠٠). المعلمي: العبادة (ص ٥٣٤ - ٥٣٦). ابن قاسم: مجموع فتاوى شيخ الإسلام أحمد ابن تيمية (٢١/ ٥٤٧). آل خنين: المصدر السابق (١/ ٤٣٦ - ٤٤٠).
2,30,(^١),مسلم: المسند الصحيح (كتاب الفتن - باب في الدجال وعظيم فتنته ولبثه في الأرض ونزول عيسى بن مريم ﵇ وقتله إياه وخروج يأجوج ومأجوج وإهلاكهم وإخراج الأرض بركتها بعدهن - ٧/ ٣٣٧) برقم (٣٠٥٧)؛ من طريق أبي خيثمة زهير بن حرب، ومحمد بن مهران الرازي - واللفظ له -؛ عن الوليد بن مسلم، عن عبد الرحمن بن يزيد بن جابر، عن يحيى بن جابر الطائي قاضي حمص، عن عبد الرحمن بن جبير، عن أبيه جبير بن نفير الحضرمي، عن الوانس بن سمعان الكلابي ﵁؛ به.
2,30,(^٢),الشاطبي: المصدر السابق، (٥/ ٢٥٣).
2,30,(^٣),أبو داود: السنن (كتاب العلم - باب الحث على طلب العلم - ٦/ ٥) برقم (٣٥٩٦)؛ من طريق مسدد، عن عبد الله داود، عن عاصم بن رجاء بن حيوة، عن داود بن جميل، عن كثير بن قيس، عن أبي الدرداء ﵁؛ به. وأورد البخاري الجزء الأول منه طرفًا في اسم الباب العاشر من كتاب العلم. ينظر: البخاري: الجامع المسند الصحيح المختصر من أمور رسول الله ﷺ وسننه وأيامه (١/ ٢٤٣).
2,31,(^١),ينظر: البخاري: المصدر السابق، (كتاب غزوة العُشيرة أو العُسيرة- باب حجة الوداع - ٥/ ٤٤٦)، برقم (٤٣٨٧). و(كتاب الأضاحي - باب من قال: الأضحى يوم النحر - ٧/ ٢٨٧) برقم (٥٥٤٦). و(كتاب التوحيد - باب قول الله تعالى: ﴿وجوه يومئذ ناضرةٌ - إلى ربها ناضرة﴾ [سورة القيامة: ٢٢ - ٢٣]- ٩/ ٣٥٨) برقم (٧٤٤٣)؛ من طريق محمد بن المثنى، ومحمد بن سلام؛ عن عبد الوهاب، عن أيوب، عن محمد، عن ابن أبي بكرة، عن أبي بكرة ﵁؛ به مرفوعًا.
2,31,(^٢),الشاطبي: المصدر السابق، (٥/ ٢٥٨).
2,31,(^٣),ينظر: الشاطبي: المصدر السابق، (١/ ١٤٠ - ١٤١).
2,32,(^١),"ينظر: البخاري: المصدر السابق، (كتاب التوحيد - باب قول الله تعالى: ﴿وكَانَ الله سَمِيعًا بَصِيرًا﴾ - ٩/ ٣١٨ - ٣١٩)؛ معلقًا. أبو داود: المصدر السابق، (كتاب الطلاق - باب في الظهار - ٤/ ١٩٩)، برقم (٢٢٠٤). النسائي: السنن الكبرى (كتاب الطلاق - باب الظهار - ٥/ ٢٧٦، كتاب التفسير - باب سورة المجادلة - ١٠/ ٢٨٩)، برقم (٥٦٢٥، ١١٥٠٦). ابن ماجه: السنن (كتاب السنة - باب فيما أنكرت الجهمية - ١/ ١٣٠، كتاب الطلاق - باب الظهار - ٣/ ٢١٤)، برقم (١٨٨، ٢٠٦٣). أحمد: المسند (١٧/ ٢٥٦)، برقم (٢٤٠٧٧). الحاكم: المستدرك على الصحيحين (كتاب التفسير - ٥/ ٥٨)، برقم (٣٨٣٣)، وصحح إسناده، وأقره الذهبي، وصححه ابن حجر، والألباني.
ينظر: ابن حجر: تغليق التعليق على صحيح البخاري (٥/ ٣٣٩). الألباني: إرواء الغليل في تخريج أحاديث منار السبيل (١/ ١٧٥)."
2,32,(^٢),ضبط فَتوِي: بكسر ثالثه نسبة إلى كلمة (فتوى)؛ فإن الألف المقصورة إذا كانت رابعة زائدة للتأنيث والحرف الثاني ساكنًا فالأولى حذفها عند النسبة إليها، ويجوز قلب الألف المقصورة واوًا فيقال: (فَتْوَوِي)، وعلى كلا الحالين فإنه يجب كسر ما قبل الألف مع تشديد ياء النسب للنسبة. ينظر: ابن مالك: الألفية (ص ١٧٠).
2,32,(^٣),ينظر: الطوفي: شرح مختصر الروضة (٣/ ٢٣٣).
2,32,(^٤),ينظر: الشاطبي: المصدر السابق، (٥/ ١٧ - ١٨).
2,33,(^١),ينظر: الطوفي: المصدر السابق، (٣/ ٢٤٤ - ٢٣٤). الشاطبي: المصدر السابق، (٥/ ١٧). محمد الأمين الشنقيطي: مذكرة في أصول الفقه (ص ٢٣١).
2,33,(^٢),ينظر: ابن قاسم: حاشية الروض المربع شرح زاد المستقنع (٤/ ٤٢٣ - ٤١٦).
2,33,(^٣),ينظر: آل خنين: توصيف الأقضية في الشريعة الإسلامية (١/ ٩٠ - ٩١).
2,33,(^٤),ينظر: ابن نجيم: الأشباه والنظائر (٤٩، وما بعدها).
2,34,(^١),السعدي: المصدر السابق، (٢/ ٦٨١).
2,34,(^٢),د. محمد مصطفى الزحيلي: القواعد الفقهية وتطبيقاتها في المذاهب الأربعة (١/ ٢٢٦). الفوزان: منحة العلام في شرح بلوغ المرام (١/ ٦٧).
2,34,(^٣),ينظر: د. محمد مصطفى الزحيلي: المصدر السابق، (١/ ٢٢٦). الفوزان: المصدر السابق، (١/ ٦٧).
2,34,(^٤),د. محمد مصطفى الزحيلي: المصدر السابق، (١/ ٢٢٦).
2,34,(^٥),د. محمد مصطفى الزحيلي: المصدر السابق، (١/ ٢٣٠).
2,34,(^٦),د. محمد مصطفى الزحيلي: المصدر السابق، (١/ ٢٢٦).
2,34,(^٧),ينظر: السعدي: المصدر السابق، (٢/ ٦٨١).
2,35,(^١),ينظر: الفوزان: المصدر السابق، (١/ ٦٧).
2,35,(^٢),د. محمد مصطفى الزحيلي: المصدر السابق، (١/ ٢٢٦ - ٢٢٧).
2,35,(^٣),ينظر: السعدي: المصدر السابق، (٢/ ٦٨١).
2,36,(^١),ينظر: ابن عابدين: المصدر السابق، (٤/ ٤٠٢). أحمد القليوبي وأحمد عميرة: حاشيتا قليوبي وعميرة (٤/ ٦٥).
2,36,(^٢),ينظر: ابن عابدين: المصدر السابق، (٤/ ٤٠٢).
2,36,(^٣),ينظر: ابن عابدين: المصدر السابق، (٤/ ٤٠٢).
2,37,(^١),ينظر: ابن الهمام: فتح القدير (٣/ ٤٤٦). السيوطي: الأشباه والنظائر (١/ ٤٧٦). ابن رجب: تقرير القواعد وتحرير الفوائد (ص ٦٧٣). وأصله حديث نبوي سيأتي تخريجه عند بسط أدلة الضابط؛ إن شاء الله تعالى.
2,37,(^٢),ينظر مستهل الفصل الأول، والمبحث الثاني من مباحث الفصل الثالث.
2,37,(^٣),"البخاري: المصدر السابق، (كتاب الشهادات - باب الشهادة على الأنساب والرضاع المستفيض والموت القديم - ٣/ ٤٩٩)، برقم (٢٦٦٢)؛ من طريق مسلم بن إبراهيم، عن همام، عن قتادة، عن جابر بن زيد، عن ابن عباس ﵄؛ به مرفوعًا. مسلم: المصدر السابق، (كتاب النكاح وإجابة الداعي - باب تحريم الرضاعة من قبل الفحل -٤/ ٧٤)، برقم (١٤٦٧)؛ من طريق قتيبة بن سعيد ومحمد بن رُمح؛ عن الليث، عن يزيد بن أبي حبيب، عن عراك، عن عروة، عن عائشة؛ بلفظ: ""يحرم من الرضاعة""، ومن طريق أبي بكر بن أبي شيبة، عن علي بن مسهر، عن سعيد بن أبي عروبة، عن قتادة؛ به، ومن طريق هداب بن خالد، عن همام، عن جابر بن زيد، عن ابن عباس ﵄؛ بلفظ"" يحرم من الرضاعة ما يحرم من الرحم""."
2,37,(^٤),"البخاري: المصدر السابق، (كتاب الشهادات - باب الشهادة على الأنساب والرضاع المستفيض والموت القديم - ٣/ ٤٩٩)، برقم (٢٦٦٣)؛ من طريق عبد الله بن يوسف، عن مالك، عن عبد الله بن أبي بكر، عن عمرة بنت عبد الرحمن، عن عائشة ﵂؛ به مرفوعًا. مسلم: المصدر السابق، (كتاب النكاح وإجابة الداعي - باب تحريم الرضاعة من قبل الفحل - ٤/ ٧١)، برقم (١٤٦٦)؛ من طريق أبي كريب عن أبي أسامة، وأبي معمر إبراهيم بن إسماعيل الهذلي عن علي بن هاشم بن البريد؛ جميعًا عن هشام بن عروة، عن عبد الله بن أبي بكر، عن عمرة، عن عائشة ﵂؛ بلفظ: ""يحرم من الرضاعة ما يحرم من الولادة""، ومن طريق إسحاق بن منصور، عن عبد الرزاق، عن ابن جريج، عن عبد الله بن أبي بكر؛ به مرفوعًا."
2,37,(^٥),البخاري: المصدر السابق، (كتاب النكاح - باب لا تنكح المرأة على عمتها - ٧/ ٣٣، كتاب الأدب - باب قول النبي ﷺ تربت يمينك وعقرى حلقى - ٨/ ١٠٢)؛ معلقًا على عروة.
2,38,(^١),ينظر: الترمذي: الجامع الكبير (٢/ ٤٤٠). ابن المنذر: الإجماع (ص ٤١). ابن حزم: مراتب الإجماع في العبادات والمعاملات والاعتقادات (ص ١٢٠). ابن رشد: بداية المجتهد ونهاية المقتصد (٢/ ٣٥). القرافي: المصدر السابق، (٤/ ٢٧٠). ابن حجر: فتح الباري (١١/ ٣٧٤). البهوتي: المصدر السابق، (١٣/ ٧٧). ابن قاسم: مجموع فتاوى شيخ الإسلام أحمد ابن تيمية (٣٤/ ٣١).
2,38,(^٢),عبد الرزاق: المصنف (٧/ ٤٧٤).
2,38,(^٣),ينظر: عبد الرزاق: المصدر السابق، (٧/ ٤٧٤).
2,38,(^٤),ابن عثيمين: الشرح الممتع على زاد المستقنِع (١٣/ ٤٢٢).
2,38,(^٥),"كسعيد بن المسيَّب، وأبي سلمة بن عبد الرحمن، وسليمان بن يسار، وعطاء بن يسار، وأبي قلابة، واختاره من المحققين ابن تيمية الحفيد، وأبو عبد الله ابن القيم، وابن عثيمين.
ينظر: ابن القيم: زاد المعاد في هدي خير العباد (٥/ ٥٦٠ - ٥٦١). ابن عثيمين: الشرح الممتع (١٣/ ٤٢٤ - ٤٢٧)."
2,38,(^٦),ينظر: ابن عابدين: المصدر السابق، (٤/ ٤١٦). القرافي: المصدر السابق، (٤/ ٢٧٩، ٢٨١، ٢٨٢). الحطاب: المصدر السابق، (٤/ ٥٧٦، ٥٧٧). الشافعي: الأم (٦/ ٦٦ - ٦٨). شمس الدين ابن قدامة: الشرح الكبير (٢٤/ ٢١٨).
2,38,(^٧),ينظر: المطلب الثالث من مطالب المبحث الأول ضمن الفصل الأول.
2,39,(^١),ينظر: ابن عثيمين: الشرح الممتع (١٣/ ٤٢٤ - ٤٢٥).
2,39,(^٢),ينظر: السيوطي: المصدر السابق، (١/ ٤٧٦). والتحقيق أن المذكورين لم يدخلوا في ضابط من يحرم بالرضاع حتى يستثنون بعد ذلك. ينظر: النووي: المصدر السابق، (٧/ ١١٠ - ١١١). ابن حجر: المصدر السابق، (١١/ ٣٧٦).
2,39,(^٣),ابن عابدين: المصدر السابق، (٤/ ٤١٤).
2,39,(^٤),ينظر: محمد الأمين الشنقيطي: أضواء البيان في إيضاح القرآن بالقرآن (٥/ ٥٠٠).
2,40,(^١),ابن عابدين: المصدر السابق، (٤/ ٤١٤).
2,40,(^٢),ابن عابدين: المصدر السابق، (٤/ ٤١٤).
2,40,(^٣),ابن عابدين: المصدر السابق، (٤/ ٤١٤).
2,40,(^٤),النووي: المصدر السابق، (٩/ ٢٠).
2,40,(^٥),ينظر: الطحاوي: شرح معاني الآثار (٣/ ١٧٠). محمد الأمين الشنقيطي: المصدر السابق، (٥/ ٥٠٠). محمد الأمين الشنقيطي: مذكرة في أصول الفقه (ص ٤٤).
2,40,(^٦),ينظر: ابن عابدين: المصدر السابق، (٤/ ٤١٥).
2,41,(^١),ينظر: القرافي: المصدر السابق، (٤/ ٢٧٣).
2,41,(^٢),ينظر: القرافي: المصدر السابق، (٤/ ٢٧٢ - ٢٧٣).
2,41,(^٣),ينظر: ابن عابدين: المصدر السابق، (٤/ ٤١٦ - ٤١٧).
2,41,(^٤),ينظر: القرافي: المصدر السابق، (٤/ ٢٧٣)، ثم أردف: وإن صحت الأمومة منها؛ لأن الزنا لا ينافي معنى الأمومة.
2,41,(^٥),ينظر: النووي: المصدر السابق، (٩/ ١٦). ابن قدامة: المغني (١١/ ٣٢١). شمس الدين ابن قدامة: المصدر السابق، (٢٤/ ٢١٨ - ٢١٩). المرداوي: المصدر السابق، (٢٤/ ٢١٨ - ٢١٩). البهوتي: المصدر السابق، (١٣/ ٨١).
2,41,(^٦),ينظر الحاشية الآنفة.
2,41,(^٧),ينظر: ابن عابدين: المصدر السابق، (٤/ ٤١٦ - ٤١٧).
2,41,(^٨),ينظر: ابن قدامة: المصدر السابق، (١١/ ٣٢١). شمس الدين ابن قدامة: المصدر السابق، (٢٤/ ٢١٨ - ٢١٩). البهوتي: المصدر السابق، (١٣/ ٨١).
2,41,(^٩),ينظر: البهوتي: شرح منتهى الإرادات (٣/ ٢١٥ - ٢١٦).
2,41,(^١٠),سيأتي تخريجه عند سياق الأدلة.
2,42,(^١),"ينظر: البيهقي: السنن الكبير: (كتاب الرضاع - باب رضاع الكبير - ١٦/ ٣٢)، برقم (١٥٧٤٩)؛ من طريق أبي بكر أحمد بن محمد بن أحمد بن الحارث الفقيه، عن علي بن عمر الحافظ، عن الحسين بن إسماعيل، عن خلاد بن أسلم، عن النضر بن شميل - هو المروزي من بني مازن؛ شيخ مرو ومحدثها، إمام صاحب سنة -، عن سليمان بن المغيرة، عن أبي موسى، عن أبيه، عن ابن لعبد الله ابن مسعود، عن ابن مسعود؛ به مرفوعًا.
فابن مسعود هو الصحابي المعروف الذي أسلم بمكة قديمًا ت ٣٣ هـ وله ثلاث وستون، وابنه الذي روى عنه يحتمل أن يكون عبد الرحمن أو أبا عبيدة أو عتبة؛ فأما عبد الرحمن فهو ثقة ت ٧٧ هـ وتوفي أبوه وله ست سنين، واختلف في سماعه منه، ومن أثبت سماعه لم يعدَّ هذا الحديث من بينها، وأما أبو عبيدة الذي قيل بأن اسمه عامر ت ١٨١ هـ فروايته محمولة في الأصل على السماع وإن لم يسمع كما هو الأصح وقول الأكثر؛ لاستقامة مروياته، وكون عامة تلامذة أبيه ثقاتٍ، وأما ما صرح فيه بالتحديث عن أبيه فهو خطأ، ولذلك؛ لم يرو له الشيخان إلا عن غير أبيه بخلاف أصحاب السنن، وأما عتبة فهو جد المسعودي، ولم أعثر له على ترجمة ولا رواية، وأبو موسى الهلالي من طبقة كبار التابعين لكنه مجهول هو وأبوه كذلك؛ لا يعرف غير سليمان بن المغيرة يروي عن أبي موسى، وأبو سعيد سليمان بن المغيرة القيسي البصري ثقة ثبت ت ١٦٥ هـ، والنضر بن شميل ثقة ثبت معدود من أهل البصرة؛ ولد في ١٢٢ هـ وتوفي ٢٠٤ هـ تقريبًا، وأبو بكر خلاد بن أسلم الصفار البغدادي ثقة ت ٢٤٩ هـ تقريبًا، والحسين بن إسماعيل هو القاضي الضبي البغدادي المَحَاملي؛ كان فاضلًا صادقًا ثقةً، يكثر الدارقطني من الرواية عنه في السنن وفي المؤتلف والمختلف، ولد في ٢٣٥ هـ وتوفي ٣٣٠ هـ، وعلي بن عمر الحافظ هو إمام عصره الدارقطني الثقة المصنِّف المعروف، وأبو بكر الفقيه ثقة سمع منه البيهقي، وهو راوي سنن الدارقطني، ت ٤٣٠ هـ عن إحدى وثمانين سنة.
وحكم بالإيهام الألباني على من رفع هذا الحديث، وضعف سنده. ويعضد رأي الألباني في توهيم من رفعه أن أحمد - كما سيأتي قريبًا - رواه من طريق أبي سفيان وكيع بن الجراح الكوفي عن سليمان بن المغيرة؛ به موقوفًا على ابن مسعود لا مرفوعًا، ومن طريق وكيع رواه كذلك الدارقطني، وأن أبا داود أيضًا رواه - كما سيأتي قريبًا - من طريق أبي ظفر عبد السلام بن مطهر بن حسام الأزدي البصري - وهو صدوق -، عن سليمان بن المغيرة؛ به موقوفًا لا مرفوعًا، بل إن الدارقطني الذي روى من طريقه البيهقي هذا الحديث المرفوع - كما سيأتي قريبًا - قد جاء هذا المروي في سننه موقوفًا من هذا الطريق، ولا يستبعد أن يكون الرفع وهمًا من البيهقي أو من شيخه أبي بكر تلميذ الدارقطني، أو خطأ مطبعيًّا، وخصوصًا أنه روي أيضًا عند البيهقي موقوفًا في رواية أخرى كما سيأتي قريبًا، وأن الحسين المحاملي راوي الحديث رواه في أماليه موقوفًا من طريق آخر يأتي قريبًا؛ بإذن الله تعالى. ="
2,43,(^١),"ابن المقرئ - وهو أبو بكر الثقة المأمون -: المعجم (١/ ٧٦)، برقم (١٤٤)؛ من طريق أبي جعفر محمد بن محمد بن عقبة الشيباني الكوفي الشيخ الصالح - هو شيخ الطبراني -، عن أبي سبرة بن محمد بن عبد الرحمن المديني، عن عبد العزيز بن عبد الله - هو الأويسي المدني شيخ البخاري -، عن عبد الله بن عمر، عن أخيه عبيد الله، عن عطاء بن أبي رباح، عن ابن عباس؛ به مرفوعًا.
وسنده ليس بالقوي؛ لأن فيه عبد الله بن عمر بن حفص بن عاصم بن عمر بن الخطاب؛ صدوق، في حفظه شيء، ولم أعرف أبا سبرة المديني، والغريب أنه يروي عن مدني والراوي عنه كوفي.
ينظر: النسائي: تسمية الشيوخ (ص ٧٥). الخطيب البغدادي: المصدر السابق، (٧/ ٩١). ابن خلكان: وفيات الأعيان (٣/ ٢٦١). الذهبي: ميزان الاعتدال (٢/ ٤١٥، ٥٥٠). المنصوري: المصدر السابق، (ص ٦١٢)."
2,43,(^٢),أبو يوسف: الآثار (ص ٢٦٨)، برقم (٦١٧)؛ =
2,44,(^١٣٨٩٥),= من طريق أبي حنيفة، عن حماد، عن إبراهيم، عن ابن مسعود؛ به موقوفًا، ولفظه: يحرم من الرضاع ما أنبت اللحم والعظم ا. هـ عبد الرزاق: المصدر السابق (٧/ ٤٦٣)، برقم
2,44,(^١٧٣٠٨),؛ من طريق الثوري، عن أبي حصين، عن أبي عطية الوادعي، عن ابن مسعود؛ به موقوفًا، ولفظه: إنما الرضاع ما أنبت اللحم والدم ا. هـ سعيد بن منصور: السنن (١/ ٢٧٨، ٢٨١)، برقم (٩٧٤، ٩٨٧)؛ من طريق هشيم، وخالد بن عبد الله؛ عن مغيرة، عن إبراهيم، عن عبد الله؛ بلفظين: لا رضاع إلا ما كان في الحولين؛ ما أنشز العظم وأنبت اللحم ا. هـ و: الرضاع ما أنبت اللحم وأنشز العظم ا. هـ ابن أبي شيبة: المصنف (٩/ ٢٨٧)، برقم
2,44,(^٤١١٤),؛ من طريق أبي معاوية، عن إسماعيل، عن أبي عمرو الشيباني، عن عبد الله؛ بلفظ: إنما يحرم من الرضاع ما أنبت اللحم، وأنشز العظم. أحمد: المصدر السابق، (٤/ ١٤٧)، برقم
2,44,(^٢٠٤٨),؛ من طريق وكيع، عن سليمان بن المغيرة، عن أبي موسى، عن أبيه، عن ابن لعبد الله بن مسعود، عن ابن مسعود؛ به موقوفًا، بلفظ: لا يحرم من الرضاع إلا ما أنبت اللحم وأنشرَ العظم ا. هـ أبو داود: المصدر السابق، (٤/ ١١٢)، برقم
